date_key,full_date,year,quarter,month,day,weekday
358,2013-04-27,2013,Q2,04,27,Saturday
359,2014-01-26,2014,Q1,01,26,Sunday
360,2013-04-22,2013,Q2,04,22,Monday
361,2014-12-01,2014,Q4,12,1,Monday
362,2013-07-15,2013,Q3,07,15,Monday
363,2012-09-15,2012,Q3,09,15,Saturday
364,2013-10-08,2013,Q4,10,8,Tuesday
365,2012-04-18,2012,Q2,04,18,Wednesday
366,2015-12-24,2015,Q4,12,24,Thursday
367,2015-02-01,2015,Q1,02,1,Sunday
368,2012-03-10,2012,Q1,03,10,Saturday
369,2012-04-02,2012,Q2,04,2,Monday
370,2014-12-12,2014,Q4,12,12,Friday
371,2014-03-12,2014,Q1,03,12,Wednesday
372,2012-02-16,2012,Q1,02,16,Thursday
373,2012-03-24,2012,Q1,03,24,Saturday
374,2012-04-26,2012,Q2,04,26,Thursday
375,2012-06-02,2012,Q2,06,2,Saturday
376,2015-02-12,2015,Q1,02,12,Thursday
377,2014-09-07,2014,Q3,09,7,Sunday
378,2015-05-03,2015,Q2,05,3,Sunday
379,2014-04-19,2014,Q2,04,19,Saturday
380,2014-08-20,2014,Q3,08,20,Wednesday
381,2013-11-21,2013,Q4,11,21,Thursday
382,2013-10-29,2013,Q4,10,29,Tuesday
383,2012-04-19,2012,Q2,04,19,Thursday
384,2013-11-28,2013,Q4,11,28,Thursday
385,2013-03-08,2013,Q1,03,8,Friday
386,2012-05-27,2012,Q2,05,27,Sunday
387,2013-06-01,2013,Q2,06,1,Saturday
388,2013-02-08,2013,Q1,02,8,Friday
389,2013-09-07,2013,Q3,09,7,Saturday
390,2015-10-18,2015,Q4,10,18,Sunday
391,2015-01-17,2015,Q1,01,17,Saturday
392,2015-08-19,2015,Q3,08,19,Wednesday
393,2013-07-13,2013,Q3,07,13,Saturday
394,2012-04-04,2012,Q2,04,4,Wednesday
395,2015-12-07,2015,Q4,12,7,Monday
396,2012-02-15,2012,Q1,02,15,Wednesday
397,2015-07-30,2015,Q3,07,30,Thursday
398,2015-02-05,2015,Q1,02,5,Thursday
399,2012-05-31,2012,Q2,05,31,Thursday
400,2014-05-21,2014,Q2,05,21,Wednesday
401,2015-02-24,2015,Q1,02,24,Tuesday
402,2012-02-26,2012,Q1,02,26,Sunday
403,2014-03-03,2014,Q1,03,3,Monday
404,2014-05-11,2014,Q2,05,11,Sunday
405,2013-01-10,2013,Q1,01,10,Thursday
406,2012-03-18,2012,Q1,03,18,Sunday
407,2012-08-01,2012,Q3,08,1,Wednesday
408,2012-09-25,2012,Q3,09,25,Tuesday
409,2014-04-04,2014,Q2,04,4,Friday
410,2012-03-21,2012,Q1,03,21,Wednesday
411,2012-09-29,2012,Q3,09,29,Saturday
412,2015-09-21,2015,Q3,09,21,Monday
413,2014-05-25,2014,Q2,05,25,Sunday
414,2013-12-20,2013,Q4,12,20,Friday
415,2014-06-12,2014,Q2,06,12,Thursday
416,2015-08-13,2015,Q3,08,13,Thursday
417,2015-01-04,2015,Q1,01,4,Sunday
418,2014-11-11,2014,Q4,11,11,Tuesday
419,2013-03-02,2013,Q1,03,2,Saturday
420,2014-01-18,2014,Q1,01,18,Saturday
421,2013-09-08,2013,Q3,09,8,Sunday
422,2012-07-14,2012,Q3,07,14,Saturday
423,2012-11-03,2012,Q4,11,3,Saturday
424,2013-05-31,2013,Q2,05,31,Friday
425,2014-09-22,2014,Q3,09,22,Monday
426,2015-02-13,2015,Q1,02,13,Friday
427,2014-09-27,2014,Q3,09,27,Saturday
428,2013-03-20,2013,Q1,03,20,Wednesday
429,2013-02-26,2013,Q1,02,26,Tuesday
430,2015-06-19,2015,Q2,06,19,Friday
431,2013-02-03,2013,Q1,02,3,Sunday
432,2013-02-11,2013,Q1,02,11,Monday
433,2013-08-31,2013,Q3,08,31,Saturday
434,2013-06-07,2013,Q2,06,7,Friday
435,2013-09-19,2013,Q3,09,19,Thursday
436,2013-11-04,2013,Q4,11,4,Monday
437,2013-03-10,2013,Q1,03,10,Sunday
438,2012-08-04,2012,Q3,08,4,Saturday
439,2015-05-28,2015,Q2,05,28,Thursday
440,2015-03-02,2015,Q1,03,2,Monday
441,2012-06-25,2012,Q2,06,25,Monday
442,2016-01-04,2016,Q1,01,4,Monday
443,2012-10-24,2012,Q4,10,24,Wednesday
444,2012-11-07,2012,Q4,11,7,Wednesday
445,2015-03-22,2015,Q1,03,22,Sunday
446,2014-06-27,2014,Q2,06,27,Friday
